,CARD_TITLES
1,How to Split a String in Python
2,NumPy Techniques and Practical Examples
3,Python for Loops: The Pythonic Way
4,Build a Dice-Rolling Application With Python
5,Top Python Game Engines
6,Develop Data Visualization Interfaces in Python With Dash
7,Build a Quiz Application With Python
8,Build a Tic-Tac-Toe Game With Python and Tkinter
9,Python & APIs: A Winning Combo for Reading Public Data
10,A Guide to Modern Python String Formatting Tools
11,Providing Multiple Constructors in Your Python Classes
12,Natural Language Processing With spaCy in Python
13,Split Your Dataset With scikit-learn's train_test_split()
14,Creating a Scalable Flask Web Application From Scratch
15,How to Split a Python List or Iterable Into Chunks
16,Lists vs Tuples in Python
17,Python Folium: Create Web Maps From Your Data
18,"Python's ""in"" and ""not in"" Operators: Check for Membership"
19,Python's zipfile: Manipulate Your ZIP Files Efficiently
